TUAN,TU_NGAY,DEN_NGAY,TEN_TAB
01,07/09/2026,12/09/2026,TUẦN 01_7T9
02,14/09/2026,19/09/2026,TUẦN 02_14T9
03,21/09/2026,26/09/2026,TUẦN 03_21T9
04,28/09/2026,03/10/2026,TUẦN 04_28T9
05,05/10/2026,10/10/2026,TUẦN 05_5T10
06,12/10/2026,17/10/2026,TUẦN 06_12T10
07,19/10/2026,24/10/2026,TUẦN 07_19T10
08,26/10/2026,31/10/2026,TUẦN 08_26T10
09,02/11/2026,07/11/2026,TUẦN 09_2T11
10,09/11/2026,14/11/2026,TUẦN 10_9T11
11,16/11/2026,21/11/2026,TUẦN 11_16T11
12,23/11/2026,28/11/2026,TUẦN 12_23T11
13,30/11/2026,05/12/2026,TUẦN 13_30T11
14,07/12/2026,12/12/2026,TUẦN 14_7T12
15,14/12/2026,19/12/2026,TUẦN 15_14T12
16,21/12/2026,26/12/2026,TUẦN 16_21T12
17,28/12/2026,02/01/2027,TUẦN 17_28T12
18,04/01/2027,09/01/2027,TUẦN 18_4T1
19,11/01/2027,16/01/2027,TUẦN 19_11T1
20,18/01/2027,23/01/2027,TUẦN 20_18T1
21,25/01/2027,30/01/2027,TUẦN 21_25T1
22,01/02/2027,06/02/2027,TUẦN 22_1T2
23,08/02/2027,13/02/2027,TUẦN 23_8T2
24,15/02/2027,20/02/2027,TUẦN 24_15T2
25,22/02/2027,27/02/2027,TUẦN 25_22T2
26,01/03/2027,06/03/2027,TUẦN 26_1T3
27,08/03/2027,13/03/2027,TUẦN 27_8T3
28,15/03/2027,20/03/2027,TUẦN 28_15T3
29,22/03/2027,27/03/2027,TUẦN 29_22T3
30,29/03/2027,03/04/2027,TUẦN 30_29T3
31,05/04/2027,10/04/2027,TUẦN 31_5T4
32,12/04/2027,17/04/2027,TUẦN 32_12T4
33,19/04/2027,24/04/2027,TUẦN 33_19T4
34,26/04/2027,01/05/2027,TUẦN 34_26T4
35,03/05/2027,08/05/2027,TUẦN 35_3T5
36,10/05/2027,15/05/2027,TUẦN 36_10T5
37,17/05/2027,22/05/2027,TUẦN 37_17T5
38,24/05/2027,29/05/2027,TUẦN 38_24T5
39,31/05/2027,05/06/2027,TUẦN 39_31T5
40,07/06/2027,12/06/2027,TUẦN 40_7T6
